Country Name,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
"Iran, Islamic Rep.",Forest area (% of land area),5.72561949,5.809506619,5.893393747,5.977280876,6.061168005,6.145055134,6.228942263,6.312829392,6.396716521,6.480603649,6.564490778,6.564490778,6.564490778,6.564490778,6.564490778,6.564490778
Spain,Urban population growth (annual %),0.553405611,0.800225839,1.661162209,2.128067165,2.042762099,2.001757617,1.999208103,2.15770109,1.898446523,1.185377902,0.756607893,0.64938946,0.35558183,-0.035329486,-0.004941594,0.219325483
Spain,Population growth (annual %),0.447137015,0.694068084,1.412595405,1.808454468,1.725466303,1.689349047,1.690352556,1.851081308,1.595330499,0.885735981,0.460408305,0.355338396,0.064925963,-0.32766904,-0.298951059,-0.077588862
Spain,CO2 emissions from gaseous fuel consumption (% of total),11.88452559,12.74164015,13.73234341,15.34763667,17.1810031,19.50153495,20.9303751,20.5237445,24.66537142,24.87524227,26.09239927,24.15221975,24.30458239,24.67975577,22.49415961,21.92931247
Spain,Electricity production from natural gas sources (% of total),9.133581688,10.02201084,13.49883501,15.29965451,20.04684586,27.29741402,30.64124338,31.40714089,38.84454849,36.91587664,31.79505229,29.33047031,24.93961394,20.44307058,17.19337041,18.89831241
Spain,Electricity production from coal sources (% of total),36.60041372,30.77827406,34.36896927,29.51852413,29.03394879,27.90409231,22.99801747,24.54454196,16.0696255,12.65567772,8.823746313,15.47886517,19.04831565,14.68564018,16.47396426,18.96238913
Spain,Forest area (% of land area),34.25637275,34.58050028,34.83530779,35.11418641,35.40705557,35.70425174,36.00299812,36.28442027,36.59795108,36.89928809,37.0899382,37.10192046,37.07977849,37.08211351,37.08444853,37.12753247
Germany,Urban population growth (annual %),0.411941894,0.44131365,0.439144631,0.324324959,0.245211653,0.2081153,0.148771506,0.127167671,0.067452495,0.002247262,0.100481934,-1.601972315,0.200687484,0.285857247,0.429833546,0.878656939
Germany,Population growth (annual %),0.1354316,0.168225361,0.168128319,0.055363304,-0.021709728,-0.056778262,-0.112797498,-0.133718573,-0.190142845,-0.25338341,-0.153198447,-1.853714629,0.187727801,0.272900215,0.416877359,0.865702644
Germany,CO2 emissions from gaseous fuel consumption (% of total),19.82551393,20.42789428,20.77371036,20.77331062,21.25781563,22.20807647,22.3071029,22.35812392,22.38330669,22.67404541,22.49199607,21.35603258,21.04030631,21.53053329,19.68124232,20.1027735
Germany,Electricity production from natural gas sources (% of total),9.172428374,10.04148579,9.366891541,10.58245237,10.48886853,12.02273465,12.13183465,12.56077757,14.23169078,13.9191072,14.41979754,14.36511492,12.4418407,10.85986934,10.01225203,9.83155139
Germany,Electricity production from coal sources (% of total),53.14609313,51.83953558,52.6833736,52.08423417,50.42963157,48.34589152,47.16388613,48.65235938,44.99479807,44.11355909,43.64242247,44.8562978,46.01646898,47.24122949,45.8101933,44.26280916
Germany,Forest area (% of land area),32.53761284,32.55803955,32.57753827,32.59797598,32.6174843,32.6341897,32.65370498,32.67416181,32.69368672,32.71133932,32.73087185,32.73754877,32.74516555,32.71898647,32.72284322,32.73232815
